question,answer
景品表示法 第5条第1号（優良誤認表示）,商品・サービスの品質、規格その他の内容について、実際のものよりも著しく優良であると一般消費者に誤認させる表示は禁止される。最上級・唯一性を主張する表現は、客観的な裏付け資料がない限り優良誤認に該当しうる。
景品表示法 第5条第2号（有利誤認表示）,価格その他の取引条件について、実際のものまたは競争事業者のものよりも著しく有利であると一般消費者に誤認させる表示は禁止される。他社比較で安さを主張する場合は、比較対象・比較時点・調査方法を明示する必要がある。
景品表示法 第5条第1号（No.1表示の根拠）,No.1・第1位等の最上級表示を行う場合、客観的な調査に基づくものであり、かつ調査結果を正確・適正に引用する必要がある。調査機関名・調査期間・調査対象・出典の明示がない No.1 表示は不当表示に該当しうる。
景品表示法 第5条第2号（二重価格表示）,販売価格に比較対照価格を併記する場合、比較対照価格が最近相当期間にわたって販売された実績のある価格でなければならない。実売実績のない「通常価格」「定価」との比較は有利誤認に該当しうる。
景品表示法 第5条（打消し表示の明瞭性）,強調表示に例外や制約がある場合、その打消し表示は一般消費者が認識できるよう明瞭に表示する必要がある。文字が小さい、強調表示から離れている、表示時間が短い等の打消し表示は、実質的に表示していないものと評価されうる。
景品表示法 第5条第1号（体験談の一般化）,体験談を用いる場合、それが一般的に得られる効果であるかのように示すことは優良誤認に該当しうる。体験者の属性、体験談の件数、平均的な効果との差異を明示せずに効果を訴求する表示は不当表示となる可能性がある。
景品表示法 第5条第2号（期間限定表示の常態化）,「今だけ」「期間限定」等の表示を行いながら、実際には同一条件での販売を継続している場合、取引条件が実際よりも有利であると誤認させる表示に該当しうる。期限を明示し、期限経過後は速やかに表示を変更する必要がある。
景品表示法 第5条第2号（無料表示の条件不記載）,「無料」「0円」と表示する場合、無料となる条件（購入金額、会員登録、継続回数等）を明瞭に併記する必要がある。条件を記載せず無料を強調する表示は有利誤認に該当しうる。
景品表示法 第5条第2号（数量限定の根拠）,「限定」「先着」「在庫僅少」等の表示は、実際の在庫数量・販売数量の裏付けが必要である。実態を伴わない数量限定表示は取引条件の有利誤認に該当しうる。
景品表示法 第5条第3号（おとり広告）,広告した商品を実際には供給できない、または供給量が著しく限定されているにもかかわらず、その旨を明示せずに広告することは、おとり広告として不当表示に該当する。特価品・目玉商品の表示には供給可能数の明示が必要である。
景品表示法 第5条第3号（原産国の誤認）,商品の原産国について一般消費者に誤認させる表示は禁止される。国内で最終的な加工のみを行った輸入品を「国産」「日本製」と表示することは、原産国告示に照らして不当表示に該当しうる。
景品表示法 第4条（景品類の限度額）,懸賞により提供する景品類の最高額は取引価額の20倍かつ10万円以内、総額は懸賞に係る売上予定総額の2%以内に制限される。総付景品は取引価額の20%（取引価額1000円未満は200円）以内である。
医薬品医療機器等法 第68条（食品の医薬品的効能標榜）,"医薬品としての承認を受けていない食品・健康食品について、疾病の治療・予防を目的とする効能効果を標榜することは禁止される。特定の疾病名を挙げて改善を訴求する表現は、医薬品的効能効果の標榜に該当しうる。
⚠️ **このルールの対象は食品・健康食品（サプリメント・飲料・食品）だけ。** 対象テキストの商品が化粧品（化粧水・美容液・クリーム・美容オイル等、肌に塗るもの）なら、それが疾病の治療を訴求していても**このルールでは violates=false** とすること（化粧品は yakki-02『化粧品の効能範囲逸脱』第66条 が判定する）。品目を取り違えて『食品において』と書いた指摘を出さないこと。"
医薬品医療機器等法 第66条（化粧品の効能範囲逸脱）,"化粧品の広告で標榜できる効能効果は、告示で定められた56項目の範囲に限られる。シワの除去、細胞の再生、恒久的な美白等、範囲を超える効果の標榜は虚偽・誇大広告に該当しうる。
⚠️ **疾病・症状の『治療』を訴求する表現も 56項目の範囲外である。** 例:「シミが治る」「ニキビが治る」「肌荒れを改善する」→ 化粧品に認められるのは「肌を整える」「うるおいを与える」等であり、治療の訴求は範囲を超える。violates=true とすること。
⚠️ **このルールの対象は化粧品（化粧水・美容液・クリーム等、肌に塗るもの）だけ。** 対象テキストの商品が食品・健康食品なら violates=false とすること（食品は yakki-01『食品の医薬品的効能標榜』第68条 が判定する）。"
医薬品医療機器等法 第68条（医療機器的性能の標榜）,医療機器としての承認・認証を受けていない雑貨について、身体の構造・機能に影響を及ぼす性能を標榜することは禁止される。血行促進・筋肉増強・痩身等の効果訴求は医療機器的性能の標榜に該当しうる。
医薬品医療機器等法 第66条（安全性の保証表現）,"医薬品・医薬部外品・化粧品の広告で、安全性を保証・断定する表現は認められない。副作用や使用上の注意が個人差を伴う以上、「副作用がない」「誰にでも安全」と言い切る表示は、事実に反するか誇大な表現に当たりうる。
指摘する: 安全性を**保証・断定**する表現。例:「副作用がない」「副作用はありません」「無添加だから安全」「誰でも安心してお使いいただけます」。
⚠️ **指摘しない**: (a)「お肌に合わない場合はご使用をおやめください」等の**注意喚起**（むしろ適切な表示である）。(b)「安心してお買い物いただけます」のように、**商品の安全性ではなく取引・配送・サポートについて**述べているとき。(c) 承認を受けた効能効果の範囲内で客観的事実を述べているとき（例: 特定の成分を配合していない旨を、安全性の保証を伴わずに書く）。
判定するのは『**その商品を使ううえでの安全性を、個人差を無視して言い切っているか**』だけ。「安心」「安全」という語が入っているだけで指摘してはならない。"
特定商取引法 第11条（販売価格・送料の明示）,通信販売の広告には、商品の販売価格（消費税込み）を表示する必要がある。送料が別途必要な場合は送料の額も表示しなければならない。価格または送料の記載が無い、もしくは税込／税別が不明瞭な場合は表示義務違反となる。
特定商取引法 第11条（代金の支払時期・方法）,通信販売の広告には、代金の支払時期および支払方法を表示する必要がある。利用可能な決済手段と、前払い／後払いの別が読み取れない広告は表示義務違反となる。
特定商取引法 第11条（商品の引渡時期）,通信販売の広告には、商品の引渡時期（発送時期・お届け目安）を表示する必要がある。注文からどの程度で商品が届くかが読み取れない広告は表示義務違反となる。
特定商取引法 第11条（返品特約の表示）,通信販売には法定のクーリング・オフが無いため、返品の可否・条件・期限・送料負担を広告に表示する必要がある。返品特約の表示が無い場合、商品到着後8日間は送料購入者負担で返品が可能となる。
特定商取引法 第11条（事業者名・住所・連絡先）,通信販売の広告には、事業者の氏名（名称）、住所、電話番号を表示する必要がある。法人の場合は代表者名または業務責任者名も必要である。これらが広告本体または明示的なリンク先に無い場合は表示義務違反となる。
特定商取引法 第12条の6（定期購入の条件明示）,定期購入契約の場合、契約期間・継続回数・支払総額・解約条件を申込みの最終確認画面および広告に明示する必要がある。初回価格のみを強調し、継続回数の縛りや2回目以降の価格・総額を明示しない表示は、不実表示として禁止される。
社内規程 —（表示内容と社内規程の不一致）,"広告に表示した取引条件（返品期限・送料負担・解約条件・価格など）が、【規程】に示された自社の条件より**顧客に不利**になっていないかを確認する。適法かどうかは判定材料にしない（適法でも規程より不利なら指摘する）。⚠️ これは法令違反の指摘ではなく、社内整合性の指摘である。
指摘する: 広告のほうが期限が短い／負担が重い／条件が厳しい。例: 【規程】が返品期限 14 日なのに広告が 8 日 → 顧客が受けられるはずの期間を狭めているので指摘する。
⚠️ **指摘しない**: (a) 広告のほうが顧客に有利、または同等のとき。(b) 同じ内容を別の言い方・粒度で書いているだけのとき（例: 【規程】が「未使用・未開封」で広告が「未開封」→ 未開封の商品は未使用でもあるため、顧客が返品できる範囲は狭まっていない。指摘しない）。(c) 【規程】に対応する条件が書かれていない項目。
**語句が一致しないことを理由に指摘してはならない。** 判定するのは『その広告を見た顧客が受けられる扱いが、規程より狭まっているか』だけ。
指摘するときは message に『広告の表示』と『規程の条件』を両方書き、顧客にとって何がどう不利になるのかを述べること。"
